ann;mes;dia;hora;reflectancia;nc;N;Hext;VelViento;DirViento;Temp;Humedad;Lluvia;RadSolar
2014.0;4.0;7.0;16.0;0.0676563630451619;0.06696870095449094;12.052409599298937;10446.26957822723;3.5;3.1;30.1;52.0;0.0;223.2
2014.0;4.0;7.0;17.0;0.0390627986500182;0.09984311330810323;12.052409599298937;10446.26957822723;1.5;323.3;30.5;49.7;0.0;180.2
2014.0;4.0;7.0;18.0;0.0119590330301282;0.21125211675677597;12.052409599298937;10446.26957822723;6.0;293.4;29.8;47.8;0.0;37.4
2014.0;4.0;8.0;7.0;0.0383000573146314;0.12800449873077283;12.055452803103298;10438.547430217395;2.1;92.7;22.5;83.6;0.0;17.5
2014.0;4.0;8.0;10.0;0.1938086783287601;0.11292081602150035;12.055452803103298;10438.547430217395;2.3;177.8;26.5;66.4;0.0;345.6
2014.0;4.0;8.0;13.0;0.3630246510934475;0.19415101108375474;12.055452803103298;10438.547430217395;4.1;156.2;30.7;50.4;0.0;411.7
2014.0;4.0;8.0;16.0;0.5541101458814759;0.9574796280589102;12.055452803103298;10438.547430217395;7.1;53.5;28.9;57.5;1.02;99.1
2014.0;4.0;9.0;7.0;0.0627598204213023;0.25165868439143746;12.05848495973857;10430.407228940769;2.0;121.6;21.6;87.2;0.0;42.3
2014.0;4.0;9.0;10.0;0.1846578268779563;0.10178814685462531;12.05848495973857;10430.407228940769;2.1;119.8;25.9;68.6;0.0;388.0
2014.0;4.0;9.0;13.0;0.4204030821015785;0.2468184278687131;12.05848495973857;10430.407228940769;4.9;96.5;29.6;50.7;0.0;246.4
2014.0;4.0;9.0;16.0;0.1123469703459637;0.148780119725363;12.05848495973857;10430.407228940769;6.1;299.2;30.5;46.5;0.0;310.9
2014.0;4.0;10.0;7.0;0.0780019273016528;0.32871381799281424;12.061505514728951;10421.859217410163;2.7;58.5;21.6;87.2;0.0;15.8
2014.0;4.0;10.0;10.0;0.2002633224204869;0.12077335495183204;12.061505514728951;10421.859217410163;2.8;93.4;25.4;70.1;0.0;406.3
2014.0;4.0;10.0;13.0;0.2216053632823991;0.06434285074000122;12.061505514728951;10421.859217410163;2.0;204.0;30.3;46.4;0.0;538.3
2014.0;4.0;10.0;16.0;0.070734969148893;0.0726044519186178;12.061505514728951;10421.859217410163;4.4;53.3;32.1;42.9;0.0;297.9
2014.0;4.0;11.0;7.0;0.0489014013724633;0.1815986631821124;12.064513903204702;10412.91400965137;1.6;143.3;22.8;82.0;0.0;31.9
2014.0;4.0;11.0;10.0;0.1955990416457063;0.11509892180796467;12.064513903204702;10412.91400965137;3.0;207.0;26.7;65.7;0.0;323.0
2014.0;4.0;11.0;13.0;0.281641737272909;0.11944998203760922;12.064513903204702;10412.91400965137;3.6;92.3;30.3;49.2;0.0;465.8
2014.0;4.0;11.0;16.0;0.079215738009653;0.08812949788849342;12.064513903204702;10412.91400965137;3.7;349.8;32.7;41.7;0.0;240.6
2014.0;4.0;12.0;7.0;0.1023012862457196;0.451557094487397;12.067509549324877;10403.582580353495;2.7;118.2;22.7;80.8;0.0;32.9
2014.0;4.0;12.0;10.0;0.451500478301247;0.4264214308586303;12.067509549324877;10403.582580353495;3.5;82.1;26.5;66.5;0.0;357.7
2014.0;4.0;12.0;13.0;0.7300479667099459;0.5310401450970601;12.067509549324877;10403.582580353495;3.2;108.0;29.1;53.5;0.0;278.1
2014.0;4.0;12.0;16.0;0.2990940979795805;0.4906427254460332;12.067509549324877;10403.582580353495;5.8;305.2;27.2;59.6;0.0;88.8
2014.0;4.0;13.0;7.0;0.0335631477449001;0.10405746813857608;12.070491865727234;10393.876254390145;1.7;73.6;20.6;86.4;0.0;36.5
2014.0;4.0;13.0;10.0;0.1705568675295343;0.08463331528452628;12.070491865727234;10393.876254390145;1.7;134.4;26.1;63.9;0.0;401.9
2014.0;4.0;13.0;13.0;0.2331697239972188;0.07495772805396435;12.070491865727234;10393.876254390145;4.3;84.7;30.3;49.2;0.0;497.6
2014.0;4.0;13.0;16.0;0.2230535370293316;0.35144152521170074;12.070491865727234;10393.876254390145;5.4;328.6;31.4;42.1;0.0;244.9
2014.0;4.0;13.0;17.0;0.1068519335054494;0.41347600428136244;12.070491865727234;10393.876254390145;5.9;313.1;30.8;42.7;0.0;147.5
2014.0;4.0;13.0;18.0;0.0133569256404975;0.23308352094134868;12.070491865727234;10393.876254390145;6.5;306.2;29.2;47.2;0.0;41.1
2014.0;4.0;14.0;7.0;0.0777396526016844;0.3273879112658132;12.07346025300695;10383.806696203324;1.6;171.4;22.9;79.8;0.0;15.1
2014.0;4.0;14.0;10.0;0.1300337331065361;0.03533400673806116;12.07346025300695;10383.806696203324;1.3;137.5;27.0;61.9;0.0;392.3
2014.0;4.0;14.0;13.0;0.2038616775771309;0.04805599740641598;12.07346025300695;10383.806696203324;2.0;33.4;30.8;44.5;0.0;519.2
2014.0;4.0;14.0;16.0;0.0685071202048307;0.06852611210787961;12.07346025300695;10383.806696203324;5.5;304.4;31.7;41.8;0.0;224.9
2014.0;4.0;15.0;7.0;0.1233640211403149;0.5580379021640389;12.07641409922578;10373.385899041465;1.4;260.1;21.0;86.5;16.26;11.1
2014.0;4.0;15.0;10.0;1.1198236504068764;1.0;12.07641409922578;10373.385899041465;2.3;182.7;21.5;89.7;5.59;47.0
2014.0;4.0;15.0;13.0;0.417161490552932;0.24384298482958625;12.07641409922578;10373.385899041465;4.8;77.2;26.1;65.9;0.0;491.2
2014.0;4.0;15.0;16.0;0.1726674242154886;0.2592038129804831;12.07641409922578;10373.385899041465;5.4;34.4;26.7;59.7;0.0;172.2
2014.0;4.0;16.0;7.0;0.0486948669203798;0.1805545463862187;12.079352779453483;10362.626174042229;2.2;175.9;20.9;91.0;0.0;20.2
2014.0;4.0;16.0;10.0;0.3892780384154652;0.35072335601518695;12.079352779453483;10362.626174042229;0.5;35.9;23.4;78.5;0.0;276.6
2014.0;4.0;16.0;13.0;0.8348683892357065;0.627254363292698;12.079352779453483;10362.626174042229;3.2;74.2;27.3;58.7;0.0;417.4
2014.0;4.0;16.0;16.0;0.0784989951877119;0.0868174157598671;12.079352779453483;10362.626174042229;2.5;24.2;29.3;50.1;0.0;282.8
2014.0;4.0;17.0;7.0;0.0228061916135082;0.04967662050673661;12.08227565534322;10351.540139150493;2.2;119.5;23.1;83.1;0.0;20.3
2014.0;4.0;17.0;10.0;0.6882910379803224;0.7144941830957756;12.08227565534322;10351.540139150493;4.1;206.8;25.9;69.9;0.0;220.2
2014.0;4.0;17.0;13.0;0.2334914082037769;0.07525300061339582;12.08227565534322;10351.540139150493;1.9;43.4;28.7;55.5;0.0;564.5
2014.0;4.0;17.0;16.0;0.0766549959920893;0.0834417581101326;12.08227565534322;10351.540139150493;6.3;1.5;30.4;47.6;0.0;261.7
2014.0;4.0;18.0;7.0;0.1169712453678377;0.5257197853119054;12.0851820747427;10340.14070786156;1.8;171.8;23.2;80.6;0.0;14.3
2014.0;4.0;18.0;10.0;0.2254413413509967;0.15140422646554907;12.0851820747427;10340.14070786156;2.5;98.4;26.3;67.5;0.0;377.0
2014.0;4.0;18.0;13.0;0.3467659095414713;0.17922718164694937;12.0851820747427;10340.14070786156;3.9;45.2;30.2;50.7;0.0;419.6
2014.0;4.0;18.0;16.0;0.5271282814190201;0.908086148173993;12.0851820747427;10340.14070786156;3.9;326.0;30.4;44.7;0.0;89.9
2014.0;4.0;23.0;10.0;0.3814248413549292;0.3411693767765071;12.099443491799324;10278.913807960707;2.7;226.5;26.1;67.5;0.0;351.9
2014.0;4.0;23.0;13.0;0.5824243862843148;0.39553709105811713;12.099443491799324;10278.913807960707;4.6;52.9;30.0;54.2;0.0;490.8
2014.0;4.0;23.0;16.0;0.3877111354775525;0.6528666468213552;12.099443491799324;10278.913807960707;4.0;217.3;23.8;81.6;0.25;28.5
2014.0;4.0;23.0;18.0;0.0132031073423041;0.23068128387826264;12.099443491799324;10278.913807960707;4.9;193.4;21.5;86.3;0.0;21.4
2014.0;4.0;24.0;10.0;0.9101272175543348;0.984373856011243;12.102236664824146;10265.92026550004;1.7;177.0;22.5;86.0;0.0;85.4
2014.0;4.0;24.0;13.0;0.9503151171325924;0.7332224218083333;12.102236664824146;10265.92026550004;2.7;165.7;24.0;78.9;0.25;175.4
2014.0;4.0;24.0;16.0;0.2978658394741683;0.4883942536302707;12.102236664824146;10265.92026550004;2.4;155.4;24.1;75.6;0.0;72.1
2014.0;4.0;25.0;7.0;0.0573745854709727;0.2244341017382741;12.105008405440069;10252.7110096567;1.6;28.9;19.9;92.2;0.0;12.4
2014.0;4.0;25.0;10.0;0.1569934825478365;0.06813248160844908;12.105008405440069;10252.7110096567;1.4;146.9;24.6;71.3;0.0;364.2
2014.0;4.0;25.0;13.0;0.2363152221710199;0.07784496739469209;12.105008405440069;10252.7110096567;3.0;68.3;28.9;54.3;0.0;509.0
2014.0;4.0;25.0;16.0;0.0655220323986082;0.06306155739867764;12.105008405440069;10252.7110096567;3.4;346.0;30.9;48.7;0.0;233.0
2014.0;4.0;26.0;7.0;0.110122037385286;0.4910942154807745;12.107757941954045;10239.300888864318;1.8;349.3;21.2;90.2;0.0;4.2
2014.0;4.0;26.0;10.0;0.5276767873762439;0.5190953915107911;12.107757941954045;10239.300888864318;2.3;107.1;23.1;81.2;0.0;206.2
2014.0;4.0;26.0;13.0;0.3649372243414868;0.1959065539003921;12.107757941954045;10239.300888864318;3.9;93.0;27.2;62.2;0.0;424.5
2014.0;4.0;26.0;16.0;0.1241190777270491;0.17033034839617303;12.107757941954045;10239.300888864318;4.2;40.2;28.7;56.6;0.0;279.9
2014.0;4.0;27.0;7.0;0.0452154357070255;0.1629645872613781;12.110484487282417;10225.704936339278;1.9;226.4;21.8;86.7;0.0;7.4
2014.0;4.0;27.0;9.0;0.1192307458658806;0.1379742395190787;12.110484487282417;10225.704936339278;2.5;128.0;23.1;83.3;0.0;208.6
2014.0;4.0;27.0;10.0;0.136676238672754;0.043415092668194384;12.110484487282417;10225.704936339278;2.2;184.7;24.5;75.8;0.0;300.0
2014.0;4.0;27.0;11.0;0.4751552446713289;0.5007401727076223;12.110484487282417;10225.704936339278;1.5;164.6;25.8;68.4;0.0;336.4
2014.0;4.0;27.0;12.0;0.4299564313002502;0.25268479984738235;12.110484487282417;10225.704936339278;1.5;89.6;26.7;64.0;0.0;338.0
2014.0;4.0;27.0;13.0;0.2957239998180214;0.1323760306887747;12.110484487282417;10225.704936339278;4.3;88.5;27.1;63.3;0.0;310.8
2014.0;4.0;27.0;14.0;0.1658979731915331;0.05981729926881327;12.110484487282417;10225.704936339278;4.1;92.4;28.1;60.7;0.0;390.5
2014.0;4.0;27.0;15.0;0.1213308835026908;0.07915721900504073;12.110484487282417;10225.704936339278;3.9;84.7;29.2;56.4;0.0;373.0
2014.0;4.0;27.0;16.0;0.0619586241011425;0.05653831893576383;12.110484487282417;10225.704936339278;3.5;62.2;30.1;53.0;0.0;288.8
2014.0;4.0;27.0;17.0;0.0334138920723692;0.07370790883080387;12.110484487282417;10225.704936339278;5.5;14.7;30.2;50.3;0.0;133.4
2014.0;4.0;27.0;18.0;0.0073027885571041;0.1385338304458432;12.110484487282417;10225.704936339278;4.4;330.4;29.0;54.1;0.0;35.6
2014.0;4.0;28.0;7.0;0.0406576285088348;0.13992299298948274;12.11318723902135;10211.938356569664;2.2;89.8;21.3;87.4;0.0;13.3
2014.0;4.0;28.0;9.0;0.0718349047403675;0.0;12.11318723902135;10211.938356569664;3.4;82.1;23.9;79.6;0.0;248.3
2014.0;4.0;28.0;10.0;0.1298582777486244;0.035120552671662246;12.11318723902135;10211.938356569664;3.3;78.6;26.2;68.3;0.0;388.7
