ann	mes	dia	hora	VelViento	DirViento	Temp	Humedad	Lluvia	RadSolar
2014.0	4.0	27.0	11.0	1.5	164.6	25.8	68.4	0.0	336.4
2014.0	4.0	27.0	12.0	1.5	89.6	26.7	64.0	0.0	338.0
2014.0	4.0	27.0	13.0	4.3	88.5	27.1	63.3	0.0	310.8
2014.0	4.0	27.0	14.0	4.1	92.4	28.1	60.7	0.0	390.5
2014.0	4.0	27.0	15.0	3.9	84.7	29.2	56.4	0.0	373.0
2014.0	4.0	27.0	16.0	3.5	62.2	30.1	53.0	0.0	288.8
2014.0	4.0	27.0	17.0	5.5	14.7	30.2	50.3	0.0	133.4
2014.0	4.0	27.0	18.0	4.4	330.4	29.0	54.1	0.0	35.6
2014.0	4.0	28.0	7.0	2.2	89.8	21.3	87.4	0.0	13.3
2014.0	4.0	28.0	9.0	3.4	82.1	23.9	79.6	0.0	248.3
2014.0	4.0	28.0	10.0	3.3	78.6	26.2	68.3	0.0	388.7
2014.0	4.0	28.0	11.0	2.7	77.3	27.9	60.5	0.0	491.3
2014.0	4.0	28.0	12.0	2.7	93.6	29.2	55.2	0.0	499.4
2014.0	4.0	28.0	13.0	2.4	50.9	30.2	51.5	0.0	498.1
2014.0	4.0	28.0	14.0	3.8	84.3	31.2	47.2	0.0	467.7
2014.0	4.0	28.0	15.0	3.3	73.4	31.8	46.3	0.0	389.1
2014.0	4.0	28.0	16.0	3.9	18.3	31.6	47.6	0.0	99.5
2014.0	4.0	28.0	17.0	3.9	2.5	31.3	46.7	0.0	96.8
2014.0	4.0	29.0	7.0	2.3	8.9	21.1	91.4	1.02	7.1
2014.0	4.0	29.0	9.0	3.3	350.8	22.3	86.0	0.0	104.9
2014.0	4.0	29.0	10.0	1.1	20.9	23.3	79.5	0.0	186.1
2014.0	4.0	29.0	11.0	2.6	145.4	24.9	70.5	0.0	340.9
2014.0	4.0	29.0	12.0	4.1	156.3	25.8	67.8	0.0	383.5
2014.0	4.0	29.0	13.0	2.0	131.1	26.9	60.3	0.0	421.7
2014.0	4.0	29.0	14.0	3.0	101.2	28.1	53.1	0.0	436.7
2014.0	4.0	29.0	15.0	2.9	91.7	28.8	53.1	0.0	308.4
2014.0	4.0	29.0	16.0	3.3	62.4	29.3	54.6	0.0	265.1
2014.0	4.0	29.0	17.0	3.1	68.7	29.3	56.2	0.0	99.3
2014.0	4.0	29.0	18.0	2.3	80.6	28.7	58.7	0.0	16.3
2014.0	4.0	30.0	7.0	0.7	103.5	22.5	84.7	0.0	25.4
2014.0	4.0	30.0	10.0	2.8	177.6	26.1	69.3	0.0	379.5
2014.0	4.0	30.0	11.0	2.0	164.7	27.4	63.1	0.0	335.3
2014.0	4.0	30.0	12.0	2.4	151.3	27.9	61.5	0.0	192.6
2014.0	4.0	30.0	13.0	2.7	101.0	28.8	58.7	0.0	426.0
2014.0	4.0	30.0	14.0	3.1	2.2	29.5	53.4	0.0	305.6
2014.0	4.0	30.0	15.0	6.2	21.5	29.3	54.7	0.0	228.3
2014.0	4.0	30.0	16.0	4.3	60.5	28.5	58.7	0.0	92.9
2014.0	4.0	30.0	17.0	2.8	100.0	28.2	59.3	0.0	55.0
2014.0	4.0	30.0	18.0	3.5	185.4	26.6	63.2	0.0	21.8
2014.0	5.0	1.0	7.0	1.5	83.2	22.5	86.9	0.0	17.2
2014.0	5.0	1.0	10.0	3.7	105.0	25.6	70.6	0.0	214.4
2014.0	5.0	1.0	13.0	2.1	148.4	29.4	54.7	0.0	421.6
2014.0	5.0	1.0	16.0	3.1	317.2	29.3	52.0	0.0	80.7
2014.0	5.0	2.0	7.0	0.6	186.5	22.3	87.0	0.25	16.4
2014.0	5.0	2.0	10.0	1.8	122.7	25.1	74.8	0.0	343.6
2014.0	5.0	2.0	13.0	2.8	118.1	28.4	58.3	0.0	287.8
2014.0	5.0	2.0	16.0	3.9	36.4	25.2	76.0	2.54	128.3
2014.0	5.0	3.0	10.0	2.8	219.3	24.8	73.6	0.0	359.5
2014.0	5.0	3.0	13.0	3.0	128.9	27.9	58.5	0.0	271.6
2014.0	5.0	3.0	16.0	2.7	73.5	29.4	54.1	0.0	173.1
2014.0	5.0	4.0	7.0	0.5	158.6	22.5	83.9	0.0	12.3
2014.0	5.0	4.0	10.0	2.9	134.9	25.1	72.8	0.0	217.9
2014.0	5.0	4.0	13.0	4.0	123.4	27.8	59.8	0.0	269.7
2014.0	5.0	4.0	16.0	2.9	354.2	28.9	55.3	0.0	101.8
2014.0	5.0	5.0	7.0	1.3	212.2	20.7	90.5	0.0	34.5
2014.0	5.0	5.0	10.0	2.8	110.6	23.6	80.5	0.0	349.5
2014.0	5.0	5.0	13.0	3.2	79.2	29.1	54.0	0.0	487.2
2014.0	5.0	5.0	16.0	4.8	16.4	30.8	48.5	0.0	189.9
2014.0	5.0	6.0	7.0	1.9	156.6	22.3	84.7	0.0	4.6
2014.0	5.0	6.0	10.0	1.5	117.6	25.1	72.1	0.0	260.1
2014.0	5.0	6.0	13.0	2.6	74.9	28.9	55.5	0.0	420.8
2014.0	5.0	6.0	16.0	6.6	82.2	25.9	74.6	0.0	197.4
2014.0	5.0	7.0	10.0	0.5	84.7	21.4	89.6	0.25	60.1
2014.0	5.0	7.0	13.0	4.0	218.2	25.9	68.2	0.0	466.5
2014.0	5.0	7.0	14.0	2.7	160.6	27.2	64.1	0.0	485.7
2014.0	5.0	7.0	15.0	1.2	145.3	28.0	60.7	0.0	311.5
2014.0	5.0	7.0	16.0	1.9	184.2	28.4	59.7	0.0	222.3
2014.0	5.0	7.0	17.0	3.4	96.7	27.1	63.1	0.0	42.9
2014.0	5.0	7.0	18.0	4.1	176.2	23.3	80.0	57.15	19.8
2014.0	5.0	8.0	7.0	1.1	118.2	22.1	89.4	0.0	12.1
2014.0	5.0	8.0	10.0	3.6	38.9	24.6	78.1	0.0	233.9
2014.0	5.0	8.0	12.0	3.0	50.6	26.4	67.0	0.0	520.2
2014.0	5.0	8.0	13.0	4.0	55.8	28.1	59.5	0.0	484.7
2014.0	5.0	8.0	14.0	4.1	33.1	28.7	52.6	0.0	405.9
2014.0	5.0	8.0	15.0	4.0	39.2	29.3	49.1	0.0	255.1
2014.0	5.0	8.0	16.0	0.8	157.5	28.7	53.1	0.0	131.6
2014.0	5.0	8.0	17.0	6.2	205.1	25.8	69.3	0.0	47.2
2014.0	5.0	8.0	18.0	5.2	153.3	24.0	79.5	0.0	7.6
2014.0	5.0	9.0	7.0	3.0	284.7	20.8	90.3	0.51	8.9
2014.0	5.0	9.0	10.0	2.2	100.2	22.6	82.8	0.0	180.9
2014.0	5.0	9.0	12.0	2.1	103.9	25.4	67.9	0.0	408.2
2014.0	5.0	9.0	13.0	1.9	18.2	26.7	63.4	0.0	445.3
2014.0	5.0	9.0	14.0	3.6	73.3	27.7	57.3	0.0	446.0
2014.0	5.0	9.0	15.0	4.1	51.5	28.2	57.4	0.0	151.7
2014.0	5.0	9.0	16.0	4.3	22.3	28.4	55.0	0.0	194.3
2014.0	5.0	9.0	17.0	6.9	308.0	27.3	55.9	0.0	54.4
2014.0	5.0	9.0	18.0	6.6	315.1	26.1	59.2	0.0	12.4
2014.0	5.0	10.0	7.0	1.2	39.1	21.4	89.1	0.0	7.2
2014.0	5.0	10.0	10.0	1.9	126.9	23.6	76.6	0.0	212.6
2014.0	5.0	10.0	13.0	2.1	105.9	26.9	60.8	0.0	327.8
2014.0	5.0	10.0	16.0	3.9	0.2	27.8	57.9	0.0	85.8
2014.0	5.0	11.0	7.0	2.5	242.7	20.6	90.9	12.95	9.0
2014.0	5.0	11.0	8.0	1.8	237.3	21.2	88.6	3.05	83.9
2014.0	5.0	11.0	9.0	1.8	196.5	22.2	83.6	0.0	118.3
2014.0	5.0	11.0	10.0	1.5	198.5	23.1	77.9	0.0	193.5
2014.0	5.0	11.0	11.0	2.2	193.2	24.5	71.4	0.0	431.3
2014.0	5.0	11.0	12.0	1.9	151.5	26.1	62.1	0.0	547.6
2014.0	5.0	11.0	13.0	2.7	142.7	27.3	54.9	0.0	515.6
2014.0	5.0	11.0	14.0	0.6	49.2	28.1	50.1	0.0	481.0
2014.0	5.0	11.0	15.0	2.2	115.6	29.0	47.7	0.0	355.8
2014.0	5.0	11.0	16.0	2.8	327.7	29.1	49.0	0.0	222.1
2014.0	5.0	11.0	17.0	4.8	358.7	28.2	54.6	0.0	68.4
2014.0	5.0	11.0	18.0	3.7	37.0	28.3	54.6	0.0	39.8
2014.0	5.0	12.0	7.0	1.4	281.6	21.8	82.6	0.0	36.0
2014.0	5.0	12.0	10.0	3.1	173.2	25.9	66.5	0.0	273.4
2014.0	5.0	12.0	11.0	2.3	114.0	27.2	58.6	0.0	470.3
2014.0	5.0	12.0	12.0	2.9	102.3	28.3	54.9	0.0	499.7
2014.0	5.0	12.0	13.0	2.0	108.1	29.5	49.5	0.0	495.6
2014.0	5.0	12.0	14.0	3.7	107.4	30.1	46.3	0.0	456.5
2014.0	5.0	12.0	15.0	2.6	83.3	30.5	46.8	0.0	358.3
2014.0	5.0	12.0	16.0	4.3	356.9	29.9	49.6	0.0	60.7
2014.0	5.0	12.0	17.0	4.7	298.2	29.9	47.1	0.0	105.4
2014.0	5.0	12.0	18.0	5.4	297.7	29.0	49.0	0.0	26.2
2014.0	5.0	13.0	7.0	2.5	30.6	21.5	85.1	0.0	21.9
2014.0	5.0	13.0	10.0	3.1	81.7	25.8	68.2	0.0	368.0
2014.0	5.0	13.0	13.0	3.3	77.3	30.0	52.3	0.0	488.0
2014.0	5.0	13.0	14.0	3.5	72.3	30.8	50.3	0.0	449.2
2014.0	5.0	13.0	15.0	3.2	60.0	31.4	48.6	0.0	370.2
2014.0	5.0	13.0	16.0	4.9	62.1	32.1	46.8	0.0	267.9
2014.0	5.0	13.0	17.0	3.6	19.6	31.7	48.0	0.0	137.7
2014.0	5.0	13.0	18.0	7.1	314.8	30.1	49.1	0.0	36.9
2014.0	5.0	14.0	10.0	4.3	209.4	24.8	77.9	0.0	108.3
2014.0	5.0	14.0	13.0	3.4	100.9	27.1	68.0	0.0	255.0
2014.0	5.0	14.0	16.0	3.7	67.8	28.1	61.3	0.0	104.9
2014.0	5.0	14.0	17.0	1.5	340.0	27.9	58.2	0.0	64.3
2014.0	5.0	14.0	18.0	2.3	74.5	27.8	59.7	0.0	17.3
2014.0	5.0	15.0	7.0	0.1	335.2	22.1	85.8	0.0	18.7
2014.0	5.0	15.0	10.0	2.6	170.5	26.1	67.4	0.0	381.8
2014.0	5.0	15.0	13.0	3.3	71.6	29.9	51.1	0.0	433.9
2014.0	5.0	15.0	16.0	4.0	31.1	30.6	45.3	0.0	135.6
2014.0	5.0	16.0	7.0	2.7	93.1	21.8	89.3	0.0	10.1
2014.0	5.0	16.0	10.0	2.7	104.4	25.1	74.1	0.0	345.8
2014.0	5.0	16.0	13.0	3.4	144.4	29.0	54.4	0.0	436.3
2014.0	5.0	16.0	16.0	2.5	140.3	28.6	54.3	0.0	76.8
2014.0	5.0	17.0	7.0	1.4	261.2	21.9	85.4	0.0	9.8
2014.0	5.0	17.0	10.0	0.7	207.4	24.0	75.2	0.0	130.6
2014.0	5.0	17.0	13.0	2.0	81.6	27.2	61.1	0.0	406.0
2014.0	5.0	17.0	16.0	2.5	88.0	29.6	50.5	0.0	265.4
2014.0	5.0	18.0	7.0	0.8	96.9	22.9	81.8	0.0	17.5
2014.0	5.0	18.0	10.0	2.2	123.6	26.0	67.8	0.0	317.9
2014.0	5.0	18.0	13.0	3.3	111.4	29.1	56.5	0.0	375.7
2014.0	5.0	18.0	14.0	3.1	115.0	29.7	52.9	0.0	374.3
2014.0	5.0	18.0	15.0	2.9	62.8	30.7	49.3	0.0	385.1
2014.0	5.0	18.0	16.0	5.4	9.8	30.1	51.4	0.0	145.4
2014.0	5.0	18.0	17.0	4.4	17.6	29.8	51.5	0.0	138.8
2014.0	5.0	18.0	18.0	3.5	352.3	28.7	52.3	0.0	10.5
2014.0	5.0	19.0	7.0	1.0	148.8	21.3	87.9	0.0	22.9
2014.0	5.0	19.0	10.0	2.3	82.0	25.4	72.0	0.0	291.8
2014.0	5.0	19.0	13.0	3.1	105.1	29.7	52.8	0.0	431.2
2014.0	5.0	19.0	16.0	3.8	96.9	31.2	46.1	0.0	138.3
2014.0	5.0	20.0	7.0	1.7	213.0	22.6	85.9	0.0	9.5
2014.0	5.0	20.0	10.0	2.6	109.1	25.5	73.9	0.0	344.8
2014.0	5.0	20.0	12.0	3.4	120.4	27.6	62.2	0.0	227.5
2014.0	5.0	20.0	13.0	4.2	110.0	27.9	61.2	0.0	191.9
2014.0	5.0	20.0	14.0	4.0	90.7	28.2	60.5	0.0	265.9
2014.0	5.0	20.0	15.0	3.6	79.1	28.5	58.8	0.0	143.2
2014.0	5.0	20.0	16.0	3.4	19.2	27.9	59.3	0.0	61.1
2014.0	5.0	20.0	17.0	3.8	293.5	27.5	56.2	0.0	59.4
2014.0	5.0	20.0	18.0	2.7	37.0	27.1	59.5	0.0	19.9
2014.0	5.0	21.0	7.0	1.5	100.6	22.2	82.8	0.0	18.6
