ann;mes;dia;hora;VelViento;DirViento;Temp;Humedad;Lluvia;RadSolar
2013;1;1;0;1;231.7;24.5;64.7;0;0
2013;1;1;1;1.5;188.3;24.2;66.5;0;0
2013;1;1;2;1.6;177.6;23.2;72.2;0;0
2013;1;1;3;0.5;133.2;22.7;74.3;0;0
2013;1;1;4;0.8;140.5;22.7;73.5;0;0
2013;1;1;5;0.8;200.7;22.6;74.3;0;0
2013;1;1;6;0.5;194.7;22.8;73.2;0;0
2013;1;1;7;0.4;98.9;22.5;75.3;0;14.1
2013;1;1;8;0.5;136.6;23;72.5;0;105
2013;1;1;9;1;135.5;23.7;68.6;0;324.5
2013;1;1;10;0.8;119.4;26;59.1;0;599
2013;1;1;11;0.7;100.5;27.7;52.9;0;753.3
2013;1;1;12;0.8;35.5;28.6;49.6;0;567.2
2013;1;1;13;1;84.1;29.8;45.8;0;747.4
2013;1;1;14;1.2;358.2;30.3;44.4;0;390.3
2013;1;1;15;2.2;279.9;30.9;41.4;0;764.9
2013;1;1;16;4;280.8;29.5;44.9;0;281.1
2013;1;1;17;3.8;274.4;29;46.2;0;265.7
2013;1;1;18;3.6;274.6;27.5;49.6;0;58.3
2013;1;1;19;3.9;272.4;26.4;52.3;0;0
2013;1;1;20;3.9;270.8;26.1;53.6;0;0
2013;1;1;21;3.5;275.2;25.6;55.5;0;0
2013;1;1;22;2.6;273.3;25.1;57.7;0;0
2013;1;1;23;1.1;267.6;24.4;61.3;0;0
2013;1;2;0;0.3;41.6;23.1;68.3;0;0
2013;1;2;1;0.8;156.7;23;69.5;0;0
2013;1;2;2;1;144.5;22.3;73.7;0;0
2013;1;2;3;0.3;151.9;22;74.9;0;0
2013;1;2;4;0.7;176;22;74.7;0;0
2013;1;2;5;0.6;158.7;21.7;76;0;0
2013;1;2;6;1;179.2;21.5;76;0;0
2013;1;2;7;0.3;203.9;21.9;73.9;0;19.7
2013;1;2;8;0.7;199.6;23.1;68.5;0;179.2
2013;1;2;9;1.1;145.4;24.6;63.8;0;386
2013;1;2;10;1.1;159.8;25.8;59.9;0;567.6
2013;1;2;11;1.3;128.8;27.3;54.7;0;720.2
2013;1;2;12;1.3;147.4;29.1;48.8;0;631.7
2013;1;2;13;0.9;96.7;29.6;46.8;0;655.8
2013;1;2;14;0.8;2.3;30.1;44.5;0;415.1
2013;1;2;15;2.9;290.7;30.8;40.1;0;732.2
2013;1;2;16;3.4;274.8;30.9;40.4;0;475.5
2013;1;2;17;3.6;274.7;29.7;44.7;0;296.9
2013;1;2;18;3.4;281.5;28.1;49.1;0;49.8
2013;1;2;19;3.4;279.1;26.9;52.8;0;0
2013;1;2;20;3.6;267.3;26.4;53.9;0;0
2013;1;2;21;2.7;275.8;25.8;56.8;0;0
2013;1;2;22;2.2;264.6;25.2;59.8;0;0
2013;1;2;23;2.3;273.8;25;60.2;0;0
2013;1;3;0;0.8;41.9;23.6;68.1;0;0
2013;1;3;1;0.3;186.4;23.5;68.4;0;0
2013;1;3;2;1;187.9;23.7;67;0;0
2013;1;3;3;0.7;139;22.9;72;0;0
2013;1;3;4;0.8;163.1;22.4;74.7;0;0
2013;1;3;5;0.3;147.2;22;77.6;0;0
2013;1;3;6;0.7;131.3;22.1;77;0;0
2013;1;3;7;0.5;171.6;22.1;77.2;0;20.2
2013;1;3;8;0.6;227;23.2;71;0;161
2013;1;3;9;1.2;199.3;24.9;63.7;0;377.9
2013;1;3;10;1.1;176.6;26.5;57.8;0;537.5
2013;1;3;11;1.3;155;27.8;54.3;0;731
2013;1;3;12;0.8;165.1;29;50.3;0;695.6
2013;1;3;13;1.5;98.5;30.1;47.4;0;674.9
2013;1;3;14;0.9;57.2;31.1;44.7;0;551.5
2013;1;3;15;3.6;284.2;28.9;48.5;0;233.2
2013;1;3;16;3.5;276.6;28.5;49.4;0;124.3
2013;1;3;17;4.8;273.5;26.9;54.4;0;31.3
2013;1;3;18;4.7;267.8;26.4;55.9;0;15.2
2013;1;3;19;3.5;277.2;26.5;54.7;0;0
2013;1;3;20;0.6;287.4;26;57.5;0;0
2013;1;3;21;0.7;110.4;25;63.9;0;0
2013;1;3;22;1.3;212.5;24.7;63.9;0;0
2013;1;3;23;1.3;190.5;24.1;66.6;0;0
2013;1;4;0;1.3;226;23.6;70.1;0;0
2013;1;4;1;1.4;194;23.8;68;0;0
2013;1;4;2;0.2;73.7;23.3;70.9;0;0
