ann;mes;dia;hora;VelViento;DirViento;Temp;Humedad;Lluvia;RadSolar
2014;1;1;0;0.5;159.5;24;69.4;0;0
2014;1;1;1;0.3;200.9;23.7;72.2;0;0
2014;1;1;2;0.2;296.4;23.3;76.4;0;0
2014;1;1;3;0.4;338.9;22.6;81;0;0
2014;1;1;4;0.8;59.6;22.5;79.9;0;0
2014;1;1;5;0.5;61.3;22.5;80;0;0
2014;1;1;6;0.2;203.4;22.6;78.5;0;0
2014;1;1;7;0.4;91.5;22.7;78.8;0;8.8
2014;1;1;8;0.1;354.4;22.7;79.9;0;104.1
2014;1;1;9;0.7;92.5;24.5;70.8;0;204.8
2014;1;1;10;0.5;79.3;24.2;73.4;0;166.7
2014;1;1;11;0.5;143.9;26.2;62.1;0;561.7
2014;1;1;12;0.9;104.4;28.2;54.7;0;638.8
2014;1;1;13;1.1;56.6;28.5;54.1;0;409.1
2014;1;1;14;0.5;122.9;29.2;50.9;0;489.1
2014;1;1;15;4;178;29.4;46.8;0;621.7
2014;1;1;16;3.2;187.5;29.3;46.1;0;474.3
2014;1;1;17;3;188.9;28.7;47.7;0;248.9
2014;1;1;18;2.6;182.8;27.1;51.4;0;29.8
2014;1;1;19;2.6;173.5;26.5;54.1;0;0
2014;1;1;20;2.4;180.5;25.9;57.2;0;0
2014;1;1;21;2.4;154.9;24.9;65.1;0;0
2014;1;1;22;2.2;160;24.5;63.8;0;0
2014;1;1;23;1.5;153.1;23.8;69.7;0;0
2014;1;2;0;0.3;73.8;23.3;73.2;0;0
2014;1;2;1;0.3;305;22.6;77.9;0;0
2014;1;2;2;0.4;38.3;21.8;81.1;0;0
2014;1;2;3;0.2;136.4;21.9;80.4;0;0
2014;1;2;4;0.3;53.1;22;79.2;0;0
2014;1;2;5;0.8;79.6;21.6;80.9;0;0
2014;1;2;6;0.3;230.1;21.4;80.2;0;0
2014;1;2;7;0.9;161.3;21.8;76.6;0;28.2
2014;1;2;8;0.9;171.4;22.8;70.6;0;163.1
2014;1;2;9;0.7;142.9;24.6;68.3;0;442.6
2014;1;2;10;1.8;130.8;26.5;61.5;0;699.1
2014;1;2;11;1.1;118;27.2;57.7;0;709.1
2014;1;2;12;0.3;133.6;27.7;55.6;0;528
2014;1;2;13;1;106.8;28.9;50.2;0;543.6
2014;1;2;14;0.4;115.1;30.2;45.2;0;670.3
2014;1;2;15;0.3;140.4;30.7;43.5;0;565.7
